PST;Max TemperatureC;Mean TemperatureC;Min TemperatureC;Dew PointC;MeanDew PointC;Min DewpointC;Max Humidity; Mean Humidity; Min Humidity; Max Sea Level PressurehPa; Mean Sea Level PressurehPa; Min Sea Level PressurehPa; Max VisibilityKm; Mean VisibilityKm; Min VisibilitykM; Max Wind SpeedKm/h; Mean Wind SpeedKm/h; Max Gust SpeedKm/h;Precipitationmm; CloudCover; Events;WindDirDegrees
02/04/2003;13;10;8;8;6;3;93;77;53;1019;1015;1012;16;15;3;29;14;45;7.37;5;Rain;237
03/04/2003;13;9;6;7;4;2;93;71;47;1023;1021;1019;16;16;10;27;10;32;2.03;4;Rain;209
04/04/2003;13;11;9;8;6;4;93;73;55;1019;1018;1016;16;15;5;40;23;55;11.43;4;Rain;258
05/04/2003;14;10;6;7;4;3;83;68;51;1024;1022;1020;16;16;14;45;19;55;0.00;2;;262
06/04/2003;15;12;9;9;8;7;89;78;62;1024;1024;1023;16;16;16;32;16;34;0.00;4;;261
07/04/2003;18;13;9;9;8;8;93;76;56;1024;1022;1021;16;16;16;34;16;;0.00;1;;283
08/04/2003;21;14;9;12;9;6;89;73;49;1022;1020;1018;16;16;16;34;13;39;0.00;0;;277
09/04/2003;19;14;10;11;9;7;93;75;48;1020;1016;1014;16;16;14;34;14;;0.00;4;;285
10/04/2003;18;14;12;11;10;8;96;78;56;1019;1016;1014;16;16;16;27;13;;0.00;3;;237
11/04/2003;17;12;8;9;8;6;90;74;56;1019;1017;1013;16;16;16;23;10;35;0.00;2;;203
12/04/2003;15;12;11;11;9;7;94;82;67;1012;1010;1008;16;12;1;40;27;66;31.24;7;Rain;159
13/04/2003;14;11;9;9;7;6;93;76;57;1016;1012;1008;16;15;8;27;16;45;11.43;6;Rain;178
14/04/2003;14;11;8;8;6;4;93;76;53;1016;1015;1014;16;15;4;40;13;48;5.59;4;Rain;268
15/04/2003;15;11;9;7;6;3;83;64;47;1021;1019;1016;16;16;16;26;16;34;0.00;4;;192
16/04/2003;14;12;11;11;8;7;89;77;64;1020;1017;1016;16;16;13;21;10;;1.78;7;Rain;108
17/04/2003;16;13;11;10;8;6;89;77;58;1018;1016;1014;16;16;14;48;16;64;0.00;5;;268
18/04/2003;16;13;10;8;6;1;80;66;49;1020;1019;1018;16;16;14;40;29;52;0.00;1;;270
19/04/2003;20;13;8;8;6;4;83;65;48;1020;1019;1019;16;16;14;40;16;45;0.00;2;;270
20/04/2003;16;13;11;10;8;6;86;76;53;1019;1017;1014;16;16;16;29;21;;0.00;6;;262
21/04/2003;13;11;9;8;7;4;89;75;55;1014;1013;1012;16;16;11;32;19;42;2.29;6;Rain;249
22/04/2003;15;11;9;8;7;6;93;76;60;1016;1014;1012;16;16;13;39;23;48;3.05;4;Rain;280
23/04/2003;16;13;10;9;6;4;80;65;48;1019;1016;1014;16;16;16;29;18;40;0.00;6;;201
24/04/2003;14;11;9;11;8;5;94;78;53;1016;1014;1011;16;13;4;29;21;40;7.62;6;Rain;200
25/04/2003;14;12;10;10;8;6;89;79;67;1017;1015;1014;16;14;5;32;18;42;9.65;6;Rain;172
26/04/2003;16;11;8;8;7;4;90;71;49;1020;1018;1016;16;16;16;27;11;;0.00;3;;256
27/04/2003;18;12;8;11;7;3;94;74;39;1017;1013;1010;16;15;10;34;13;40;10.16;4;Rain;169
28/04/2003;16;12;11;9;8;6;86;77;62;1016;1014;1011;16;15;8;34;18;40;6.35;6;Rain;190
29/04/2003;15;12;10;9;7;5;89;73;55;1020;1018;1016;16;16;16;29;13;;0.25;5;;211
30/04/2003;17;12;9;9;8;7;90;74;60;1020;1019;1016;16;16;16;35;13;;0.00;3;;276
01/05/2003;21;16;12;11;9;7;81;69;45;1016;1014;1013;16;16;16;21;6;;0.00;5;;282
02/05/2003;18;15;13;13;11;7;100;80;60;1012;1009;1007;16;14;3;23;14;;10.67;7;Rain;114
03/05/2003;17;15;13;13;12;11;94;85;65;1012;1008;1006;16;16;16;37;13;45;5.08;6;Rain;332
04/05/2003;16;14;12;9;9;8;86;74;64;1022;1021;1017;16;16;16;35;24;42;0.00;5;;258
05/05/2003;16;13;11;9;7;7;83;71;57;1021;1019;1016;16;16;16;39;26;47;0.00;4;;266
06/05/2003;16;13;11;9;8;7;83;73;60;1016;1015;1013;16;16;13;26;19;34;0.00;5;Rain;254
07/05/2003;16;13;11;9;8;6;86;72;58;1016;1014;1013;16;16;14;50;21;63;0.00;4;;258
08/05/2003;15;12;10;8;6;4;86;68;53;1019;1017;1016;16;16;16;45;29;55;0.25;5;;266
09/05/2003;16;12;9;8;7;4;83;70;51;1022;1020;1018;16;16;16;47;26;58;0.00;1;;271
10/05/2003;18;13;8;9;8;6;93;75;48;1021;1020;1019;16;16;14;42;18;;0.00;1;;257
11/05/2003;17;13;10;9;9;8;89;76;60;1020;1018;1017;16;16;16;40;18;42;0.00;3;;259
12/05/2003;21;14;9;11;9;8;90;74;49;1017;1015;1013;16;16;16;35;16;;0.00;2;;285
13/05/2003;18;14;11;11;10;9;89;79;65;1015;1014;1014;16;15;11;37;21;;0.00;2;;280
14/05/2003;16;13;12;11;10;9;90;82;69;1016;1015;1014;16;15;11;42;23;53;0.00;7;;249
15/05/2003;16;13;11;9;8;6;86;73;59;1021;1019;1016;16;16;14;47;29;55;0.00;3;;247
16/05/2003;18;13;9;9;7;6;86;70;50;1020;1018;1016;16;15;13;42;18;48;0.00;4;;271
17/05/2003;18;13;9;9;7;6;80;65;45;1017;1016;1016;16;14;11;39;24;;0.00;2;;271
18/05/2003;21;16;10;7;6;1;80;56;29;1020;1019;1017;16;16;13;35;16;;0.00;0;;282
19/05/2003;27;19;11;12;6;0;75;53;19;1020;1019;1017;16;16;13;35;11;;0.00;0;;289
20/05/2003;27;19;12;11;8;7;80;59;31;1019;1017;1016;16;16;14;39;16;;0.00;0;;289
21/05/2003;20;16;11;12;9;8;89;72;52;1017;1015;1014;16;15;13;48;23;58;0.00;0;;282
22/05/2003;17;13;10;10;9;9;96;79;65;1015;1014;1013;16;14;8;42;26;;0.00;1;;286
23/05/2003;19;15;11;12;11;9;93;78;61;1014;1013;1012;16;15;8;39;18;37;0.00;2;;275
24/05/2003;17;13;11;12;11;11;100;89;72;1015;1014;1013;16;12;4;39;24;42;0.00;7;;250
25/05/2003;21;17;13;14;13;12;96;83;61;1017;1014;1013;16;15;6;27;18;37;0.00;6;;235
26/05/2003;19;16;12;12;9;7;94;70;47;1020;1018;1016;16;15;4;40;19;39;0.00;4;;270
27/05/2003;27;20;12;14;10;8;75;62;34;1017;1015;1013;16;16;16;40;14;;0.00;0;;282
28/05/2003;28;20;13;13;11;9;80;62;36;1014;1012;1009;16;16;14;35;13;;0.00;3;;298
29/05/2003;19;16;13;12;11;11;93;80;61;1015;1012;1009;16;16;10;37;19;48;0.00;6;;260
30/05/2003;18;14;12;13;8;-2;93;70;34;1016;1015;1014;16;15;8;35;21;45;0.00;5;;260
31/05/2003;18;14;11;10;9;8;89;76;56;1016;1015;1014;16;16;14;39;21;48;0.00;2;;272
01/06/2003;22;16;11;13;9;8;83;68;46;1015;1014;1012;16;14;11;42;14;45;0.00;1;;290
02/06/2003;27;19;12;15;11;9;80;66;41;1012;1010;1007;16;14;10;37;13;;0.00;0;;289
03/06/2003;22;17;12;15;12;9;86;72;53;1012;1010;1008;16;15;11;19;13;;0.00;0;;283
04/06/2003;22;18;14;13;12;11;87;76;59;1012;1011;1010;16;16;14;29;10;35;0.00;2;;260
05/06/2003;21;17;13;13;12;11;88;75;61;1013;1012;1010;16;16;14;21;8;;0.00;3;;221
06/06/2003;21;17;13;12;11;10;82;71;56;1015;1014;1013;16;16;16;26;13;39;0.00;4;;212
07/06/2003;18;16;13;12;11;11;93;79;64;1015;1014;1013;16;16;16;29;18;27;0.00;6;;242
08/06/2003;18;14;12;12;11;10;93;84;70;1013;1011;1010;16;16;13;32;18;40;0.00;6;;253
09/06/2003;21;17;12;12;11;10;90;75;53;1011;1010;1009;16;16;14;32;16;40;0.00;4;;209
10/06/2003;19;15;12;12;11;9;87;75;56;1015;1013;1011;16;16;16;40;18;48;0.00;4;;194
11/06/2003;15;13;12;11;10;9;94;82;72;1016;1015;1014;16;16;11;27;14;37;0.00;8;;229
12/06/2003;15;13;12;11;9;9;86;79;72;1016;1015;1014;16;16;16;34;24;47;0.00;8;;252
13/06/2003;18;16;13;13;11;9;88;78;63;1017;1016;1015;16;16;16;48;26;63;0.00;5;;258
14/06/2003;19;15;12;11;10;9;87;73;58;1017;1017;1016;16;16;14;39;26;55;0.00;2;;256
15/06/2003;21;17;12;11;10;9;86;71;49;1016;1015;1014;16;15;13;40;26;53;0.00;0;;270
16/06/2003;23;17;12;13;11;9;86;73;53;1014;1013;1012;16;15;11;39;16;34;0.00;0;;285
17/06/2003;17;14;12;11;11;11;94;82;72;1014;1013;1011;16;15;11;39;23;53;0.00;5;;252
18/06/2003;19;14;11;12;11;10;94;83;63;1012;1010;1009;16;16;14;45;24;63;0.00;5;;260
19/06/2003;17;14;11;10;9;8;89;76;60;1010;1009;1008;16;15;13;63;29;80;0.00;4;;253
20/06/2003;19;14;12;11;10;8;89;77;56;1012;1011;1009;16;16;16;61;34;74;0.00;3;;256
21/06/2003;18;15;12;11;9;8;90;75;54;1013;1012;1011;16;16;14;45;31;60;0.00;4;;256
22/06/2003;19;14;10;9;8;8;86;70;54;1012;1011;1009;16;16;14;35;18;42;0.00;2;;266
23/06/2003;18;14;11;10;8;8;86;71;54;1010;1009;1007;16;15;13;61;23;74;0.00;3;;265
24/06/2003;27;19;11;12;8;6;83;58;26;1013;1011;1009;16;15;13;35;11;;0.00;0;;283
25/06/2003;34;23;13;16;9;4;77;48;18;1015;1014;1013;16;15;13;29;10;;0.00;0;;290
26/06/2003;36;27;19;16;11;3;76;43;17;1015;1014;1012;16;16;16;37;6;;0.00;0;;295
27/06/2003;36;28;21;17;12;7;71;48;19;1013;1012;1010;16;16;14;26;8;32;0.00;0;;310
28/06/2003;26;19;13;15;12;9;93;69;47;1013;1011;1010;16;16;16;40;16;;0.00;0;;289
29/06/2003;21;16;13;13;12;12;94;80;65;1017;1015;1013;16;16;16;39;21;47;0.00;3;;278
30/06/2003;21;18;15;12;12;11;83;72;56;1017;1016;1015;16;16;16;40;21;50;0.00;5;;256
01/07/2003;19;16;13;12;11;10;88;74;59;1017;1016;1014;16;16;16;32;16;39;0.00;3;;263
02/07/2003;20;16;12;11;11;10;89;76;57;1015;1015;1014;16;16;13;35;19;;0.00;0;;284
03/07/2003;19;15;11;11;11;9;93;78;57;1017;1015;1015;16;16;14;34;21;;0.00;2;;288
04/07/2003;23;17;11;14;11;9;93;74;46;1016;1015;1014;16;15;13;40;16;55;0.00;1;;293
05/07/2003;18;14;12;11;11;10;94;79;63;1016;1015;1014;16;15;11;35;21;42;0.00;2;;278
06/07/2003;16;13;12;11;11;10;94;85;75;1015;1014;1013;16;16;13;35;19;48;0.00;6;;247
07/07/2003;18;14;12;11;10;9;94;78;58;1016;1015;1013;16;15;13;50;26;63;0.00;4;;252
08/07/2003;21;17;12;11;11;10;89;76;51;1017;1016;1015;16;16;14;37;23;47;0.00;2;;275
09/07/2003;24;17;12;12;11;11;93;79;51;1017;1015;1014;16;16;16;48;19;58;0.00;1;;292
10/07/2003;21;16;12;12;11;11;94;81;56;1020;1018;1017;16;16;16;37;23;50;0.00;2;;277
11/07/2003;20;16;12;12;11;11;96;79;60;1019;1017;1016;16;16;16;47;19;53;0.00;2;;279
12/07/2003;23;18;13;15;13;11;96;77;55;1020;1019;1017;16;16;10;45;23;55;0.00;2;;279
13/07/2003;22;18;14;14;13;11;97;78;53;1020;1019;1016;16;16;8;48;26;61;0.00;3;;272
14/07/2003;28;20;13;16;12;11;89;70;41;1016;1013;1011;16;16;16;42;19;48;0.00;0;;290
15/07/2003;21;16;12;12;12;11;96;77;57;1014;1013;1012;16;16;14;37;26;48;0.00;1;;275
16/07/2003;22;17;13;12;11;9;89;70;51;1014;1013;1012;16;16;14;42;23;55;0.00;0;;283
17/07/2003;29;21;13;17;12;9;81;66;38;1015;1013;1012;16;16;14;35;14;42;0.00;1;;296
18/07/2003;23;18;13;12;12;11;89;73;51;1016;1015;1014;16;16;14;37;21;39;0.00;2;;286
19/07/2003;21;17;13;13;11;10;87;73;58;1016;1015;1014;16;16;14;35;24;;0.00;5;;291
20/07/2003;29;21;15;17;14;12;86;72;44;1015;1014;1012;16;16;10;32;14;;0.00;3;;311
21/07/2003;22;18;14;15;14;13;93;81;63;1015;1014;1013;16;16;14;34;16;;0.00;2;;296
22/07/2003;23;18;13;14;13;12;97;82;57;1014;1013;1011;16;16;16;35;19;39;0.00;2;;289
23/07/2003;22;17;13;14;12;12;93;81;65;1014;1013;1011;16;15;14;32;18;39;0.00;4;Fog;303
24/07/2003;23;18;14;15;13;12;93;77;59;1012;1011;1010;16;14;13;34;16;40;0.00;4;;306
25/07/2003;22;18;14;14;13;12;90;78;61;1014;1012;1011;16;16;14;26;13;;0.00;3;;307
26/07/2003;22;17;13;15;13;12;93;82;63;1017;1015;1014;16;15;11;37;13;48;0.00;4;;297
27/07/2003;21;17;13;14;13;12;97;82;61;1017;1016;1015;16;16;16;35;19;;0.00;2;;290
28/07/2003;19;16;12;13;12;12;100;85;63;1016;1015;1013;16;16;16;39;21;40;0.00;3;;288
29/07/2003;19;14;12;13;12;11;97;84;68;1014;1013;1011;16;16;14;37;23;45;0.00;5;;290
30/07/2003;24;18;13;15;13;12;100;83;59;1015;1013;1010;16;16;14;35;21;42;0.00;5;Thunderstorm;284
31/07/2003;22;18;14;17;15;13;100;87;75;1017;1016;1014;16;15;13;27;14;;0.00;6;Rain;309
01/08/2003;23;19;16;16;15;15;97;84;64;1018;1017;1015;16;16;14;35;16;45;0.00;6;;279
02/08/2003;24;20;16;16;15;14;96;80;59;1018;1017;1016;16;16;16;24;13;35;0.00;5;;249
03/08/2003;23;19;16;16;14;13;94;79;57;1019;1017;1016;16;16;16;35;16;47;0.00;4;;258
04/08/2003;23;18;14;16;14;11;97;78;48;1017;1017;1016;16;16;16;27;16;;0.00;2;;268
05/08/2003;25;21;16;17;16;14;94;79;52;1017;1016;1015;16;16;13;27;13;32;0.00;6;;248
06/08/2003;22;19;16;15;14;13;90;79;59;1018;1017;1016;16;16;16;35;18;42;0.00;5;;258
07/08/2003;23;19;16;14;14;13;88;76;55;1018;1017;1016;16;16;16;40;23;37;0.00;2;;262
08/08/2003;23;19;16;16;14;14;94;78;61;1018;1017;1016;16;16;16;37;24;48;0.00;3;;263
09/08/2003;23;19;16;15;14;12;90;74;53;1019;1017;1016;16;16;16;39;26;58;0.00;1;;262
10/08/2003;23;19;16;15;14;13;90;75;53;1020;1019;1018;16;16;16;42;24;52;0.00;2;;266
11/08/2003;23;19;15;14;13;13;90;74;57;1019;1017;1015;16;16;16;50;29;61;0.00;0;;266
12/08/2003;22;18;14;13;12;11;90;75;51;1015;1014;1013;16;16;16;42;21;58;0.00;2;;265
13/08/2003;23;18;14;13;13;12;94;76;53;1016;1015;1014;16;16;16;37;18;32;0.00;2;;274
14/08/2003;22;18;15;14;13;12;90;76;57;1019;1018;1016;16;16;14;37;18;47;0.00;3;;253
15/08/2003;22;18;14;14;13;12;93;77;55;1019;1018;1016;16;16;16;45;26;55;0.00;3;;271
16/08/2003;26;19;13;15;13;12;93;75;48;1018;1016;1015;16;16;16;37;14;;0.00;1;;289
17/08/2003;24;18;13;16;13;12;93;79;55;1015;1014;1012;16;16;16;39;14;42;0.00;1;;292
18/08/2003;22;18;15;14;13;13;90;80;57;1014;1013;1012;16;16;16;39;19;48;0.00;5;;266
19/08/2003;22;18;16;16;13;3;88;75;42;1014;1013;1012;16;16;16;29;16;39;0.00;6;;213
20/08/2003;25;20;16;17;14;13;86;75;55;1015;1013;1012;16;16;13;26;8;;0.00;3;;284
21/08/2003;24;20;17;14;13;12;84;69;53;1016;1015;1014;16;16;16;29;11;42;0.00;4;;215
22/08/2003;24;21;17;15;13;12;87;68;48;1016;1015;1014;16;16;16;24;11;32;0.00;4;;239
23/08/2003;26;20;16;15;14;12;90;73;50;1015;1014;1013;16;16;16;42;13;;0.00;1;;270
24/08/2003;31;23;16;18;14;12;83;64;37;1016;1014;1013;16;16;16;37;11;;0.00;0;;288
25/08/2003;30;23;17;19;15;13;84;69;50;1014;1013;1011;16;16;14;35;13;;0.00;2;;292
26/08/2003;24;18;14;14;13;13;94;79;55;1014;1013;1011;16;16;14;34;24;40;0.00;2;Rain;275
27/08/2003;20;17;14;14;13;12;93;80;65;1016;1015;1014;16;16;16;35;16;47;0.00;3;;257
28/08/2003;18;16;14;13;13;12;90;84;70;1017;1016;1014;16;16;14;39;19;50;0.00;7;;246
29/08/2003;21;17;12;13;12;11;97;80;58;1016;1015;1014;16;16;14;39;18;42;0.00;3;;272
30/08/2003;19;16;12;13;12;11;100;84;63;1016;1014;1013;16;16;14;35;16;42;0.00;4;;270
31/08/2003;21;17;13;14;13;12;93;83;63;1013;1012;1010;16;15;8;34;11;;0.00;4;;283
01/09/2003;22;17;12;14;13;11;97;83;59;1012;1011;1009;16;16;14;35;16;;0.00;1;;284
02/09/2003;22;18;13;15;14;13;100;84;63;1013;1012;1011;16;14;5;35;14;42;0.00;3;Fog;286
